Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.840223,0,0,0,0,1.83596,-3.99641,3.22292,-0.931834,0,0,0,0,0,0,0,0,0.5,0,0,0,2.71615,-6.75129,6.10569,-1.94442,0,0,0,0,0,0,0,0
0.81888,0.1,0.199942,-0.0289878,-0.0628896,-0.935763,2.46408,-2.21612,0.696269,0,0,0,0,0,0,0,0,0.6,0.17247,0.00488841,-0.0171522,0.911383,-3.45293,3.94484,-1.46994,0,0,0,0,0,0,0,0
0.854867,0.2,0.0840914,0.0186459,0.0151603,0.244679,-0.572883,0.455756,-0.125836,0,0,0,0,0,0,0,0,0.7,-0.00263799,-0.0897792,0.00334006,-1.9285,5.23942,-4.96588,1.62385,0,0,0,0,0,0,0,0
0.755032,0.3,0.135536,-0.00402866,0.00758798,0.599182,-2.13727,2.50468,-0.983898,0,0,0,0,0,0,0,0,0.6,-0.143807,-0.0174919,0.00468768,0.154213,-0.0575894,-0.222714,0.155906,0,0,0,0,0,0,0,0
0.750775,0.4,0.112668,0.00315012,0.00337721,1.214,-3.82059,4.18956,-1.58012,0,0,0,0,0,0,0,0,0.5,-0.115975,-0.00959254,-0.00175408,-1.6269,5.42708,-6.17044,2.38453,0,0,0,0,0,0,0,0
0.705795,0.5,0.124054,-0.000411199,0.00197105,2.1066,-7.27054,8.65465,-3.52172,0,0,0,0,0,0,0,0,0.4,-0.107806,-0.0112811,-0.00558946,-3.73379,13.063,-15.6674,6.40755,0,0,0,0,0,0,0,0
0.81334,0.6,0.115581,-0.00041265,0.00202366,0.163722,-0.418448,0.387518,-0.126203,0,0,0,0,0,0,0,0,0.3,-0.0948749,-0.0056464,0.00779511,-4.03217,12.3534,-12.904,4.58643,0,0,0,0,0,0,0,0
0.834195,0.7,0.127525,0.00337211,0.00359983,0.157273,-0.668602,0.793364,-0.29966,0,0,0,0,0,0,0,0,0.2,0.000259718,0.0528203,-9.39991e-05,4.39136,-12.4952,12.3605,-4.20175,0,0,0,0,0,0,0,0
0.750775,0.8,0.103064,0.0085541,0.00781765,0.406839,-0.960884,0.832758,-0.258075,0,0,0,0,0,0,0,0,0.3,0.0784304,-0.00711595,-0.00749734,4.54239,-14.3763,15.8873,-6.03054,0,0,0,0,0,0,0,0
0.834195,0.9,0.15968,0.0117339,-0.00816142,1.22152,-4.36228,4.83325,-1.75974,0,0,0,0,0,0,0,0,0.4,0.0841552,0.00626002,0.00438051,2.74957,-8.13463,8.24543,-2.84971,0,0,0,0,0,0,0,0
0.81334,1,-7.03108e-15,-0.0522213,3.05225e-14,-4.90828,14.2901,-14.4773,5.04248,0,0,0,0,0,0,0,0,0.5,0.0550934,-0.00576852,0.00223285,1.74013,-4.45224,4.15358,-1.3652,0,0,0,0,0,0,0,0
0.834195,0.9,-0.0798398,0.0111752,0.00816142,-3.37113,9.76634,-9.81726,3.378,0,0,0,0,0,0,0,0,0.6,0.157178,0.0121822,-0.00302881,0.893274,-3.24749,3.57304,-1.28989,0,0,0,0,0,0,0,0
0.834195,0.8,-0.0515321,-0.00427705,-0.00390883,-3.7143,10.6557,-10.6176,3.62969,0,0,0,0,0,0,0,0,0.7,-0.000116275,-0.105989,5.47937e-05,-3.57225,10.4682,-10.4852,3.58682,0,0,0,0,0,0,0,0
0.750775,0.7,-0.0637623,0.00170875,0.00179992,-5.99701,19.2005,-21.337,8.12677,0,0,0,0,0,0,0,0,0.6,-0.0782687,0.0122962,-0.0148423,-5.50737,17.8104,-19.8928,7.6014,0,0,0,0,0,0,0,0
0.77163,0.6,-0.0577905,-0.000474993,-0.00101183,-5.3232,16.5339,-17.8397,6.60157,0,0,0,0,0,0,0,0,0.5,-0.0557421,-0.00333746,-0.00192725,-3.81008,11.4205,-12.0409,4.38434,0,0,0,0,0,0,0,0
0.750775,0.5,-0.0620272,-0.000398738,0.000985523,-6.06982,19.4453,-21.6106,8.23057,0,0,0,0,0,0,0,0,0.4,-0.107436,0.00700979,-0.00266598,-3.4068,11.2239,-12.7158,4.9101,0,0,0,0,0,0,0,0
0.834195,0.4,-0.0563341,0.00157506,-0.00168861,-1.81667,4.74006,-4.44224,1.4541,0,0,0,0,0,0,0,0,0.3,-0.0818172,-0.0277303,0.00908293,-3.84332,11.5556,-11.794,4.09018,0,0,0,0,0,0,0,0
0.834195,0.3,-0.135536,-0.00371125,-0.00758798,-1.58824,5.29065,-5.71471,2.05506,0,0,0,0,0,0,0,0,0.2,0.00800691,0.056863,-0.00741067,4.45082,-12.761,12.6785,-4.32128,0,0,0,0,0,0,0,0
0.750775,0.2,-0.0388923,-0.0186459,-0.00758016,-1.86234,4.75556,-4.48358,1.51128,0,0,0,0,0,0,0,0,0.3,0.0608897,-0.0203432,-0.000140346,2.03168,-5.22536,5.01257,-1.71765,0,0,0,0,0,0,0,0
0.85505,0.1,-0.199942,-0.00662579,0.0628896,-0.354728,1.85057,-2.37983,0.928732,0,0,0,0,0,0,0,0,0.4,0.189078,0.022174,-0.0276855,0.324954,-1.97885,2.57399,-1.0048,0,0,0,0,0,0,0,0
